geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0032623	interleukin-2 production	http://amigo.geneontology.org/amigo/term/GO:0032623	62	3	0.03742454728370221	80.16129032258065	5.6501875105718094e-06	0.004740507321369748	2625;5788;51564	GATA3;HDAC7;PTPRC
GO:0001818	negative regulation of cytokine production	http://amigo.geneontology.org/amigo/term/GO:0001818	288	4	0.1738430583501006	23.00925925925926	1.5915012114005467e-5	0.006676347581825293	2625;3596;5788;51564	GATA3;HDAC7;IL13;PTPRC
GO:0002250	adaptive immune response	http://amigo.geneontology.org/amigo/term/GO:0002250	464	4	0.2800804828973843	14.2816091954023	1.0301604071159324e-4	0.01895159797624735	2625;3659;5788;60468	BACH2;IRF1;GATA3;PTPRC
GO:0001819	positive regulation of cytokine production	http://amigo.geneontology.org/amigo/term/GO:0001819	481	4	0.2903420523138833	13.776853776853775	1.1846476418790874e-4	0.01895159797624735	2625;3596;3659;5788	IRF1;GATA3;IL13;PTPRC
GO:0051249	regulation of lymphocyte activation	http://amigo.geneontology.org/amigo/term/GO:0051249	496	4	0.2993963782696177	13.360215053763442	1.3344843289548277e-4	0.01895159797624735	2625;3596;3659;5788	IRF1;GATA3;IL13;PTPRC
GO:0046631	alpha-beta T cell activation	http://amigo.geneontology.org/amigo/term/GO:0046631	179	3	0.10804828973843059	27.765363128491618	1.355299020947367e-4	0.01895159797624735	2625;3659;5788	IRF1;GATA3;PTPRC
GO:0002440	production of molecular mediator of immune response	http://amigo.geneontology.org/amigo/term/GO:0002440	220	3	0.13279678068410464	22.59090909090909	2.492877286853262e-4	0.029878914909569815	2625;3596;5788	GATA3;IL13;PTPRC
GO:0031348	negative regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031348	251	3	0.15150905432595574	19.800796812749002	3.6736214536815115e-4	0.0349897584928022	2625;3596;5788	GATA3;IL13;PTPRC
GO:0002269	leukocyte activation involved in inflammatory response	http://amigo.geneontology.org/amigo/term/GO:0002269	49	2	0.029577464788732393	67.61904761904762	3.753370994460307e-4	0.0349897584928022	3596;5788	IL13;PTPRC
